ds,y
2020-03-02,2
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,2
2020-03-07,0
2020-03-08,2
2020-03-09,13
2020-03-10,8
2020-03-11,7
2020-03-12,0
2020-03-13,35
2020-03-14,27
2020-03-15,21
2020-03-16,17
2020-03-17,38
2020-03-18,55
2020-03-19,82
2020-03-20,60
2020-03-21,81
2020-03-22,64
2020-03-23,65
2020-03-24,106
2020-03-25,105
2020-03-26,103
2020-03-27,153
2020-03-28,109
2020-03-29,130
2020-03-30,129
2020-03-31,114
2020-04-01,149
2020-04-02,113
2020-04-03,196
2020-04-04,106
2020-04-05,181
2020-04-06,218
2020-04-07,247
2020-04-08,218
2020-04-09,337
2020-04-10,219
2020-04-11,330
2020-04-12,399
2020-04-13,316
2020-04-14,282
2020-04-15,297
2020-04-16,380
2020-04-17,407
2020-04-18,325
2020-04-19,327
2020-04-20,185
2020-04-21,375
2020-04-22,283
2020-04-23,357
2020-04-24,436
2020-04-25,396
2020-04-26,275
2020-04-27,214
2020-04-28,415
2020-04-29,260
2020-04-30,347
2020-05-01,433
2020-05-02,292
2020-05-03,349
2020-05-04,395
2020-05-05,484
2020-05-06,367
2020-05-07,338
2020-05-08,336
2020-05-09,533
2020-05-10,387
2020-05-11,233
2020-05-12,484
2020-05-13,689
2020-05-14,568
2020-05-15,490
2020-05-16,529
